Name,Mover Score,Pub Rank,All time high pub rank,All time low pub rank
package name,Calculated score based on all the other metrics,current rank,highest ever package rank,lowest ever package rank
convex_bottom_bar,724,216,130,216
maps_toolkit,718,217,209,268
sqflite_common_ffi,744,218,189,238
adaptive_theme,813,219,174,1196
flutter_styled_toast,728,220,175,228
curved_navigation_bar,725,221,88,227
math_expressions,743,222,202,273
sqlite3_flutter_libs,735,223,206,251
flutter_flavor,735,224,203,248
flare_splash_screen,437,2947,1954,2947
cron,713,226,199,231
collapsible,454,2936,1775,2936
flutter_windowmanager,733,228,159,228
material_symbols_icons,826,229,215,1241
html_unescape,734,230,205,251
image_editor,804,231,202,1142
adaptive_dialog,805,232,170,1188
auto_animated,734,233,201,251
flutter_plugin_android_lifecycle,746,234,207,329
freerasp,737,235,208,291
json_rpc_2,725,236,213,267
google_mlkit_face_detection,739,237,212,263
oktoast,750,238,198,244
awesome_snackbar_content,722,239,176,258
hive_ce,901,240,240,1587
any_link_preview,725,241,216,247
shimmer_animation,806,242,150,1294
dart_ipify,744,243,219,324
password_strength,750,244,226,438
smart_auth,766,245,230,452
android_id,744,246,232,290
copy_with_extension_gen,898,247,232,1663
multi_dropdown,706,248,222,253
flutter_callkit_incoming,766,249,238,657
shelf_static,750,250,220,352
scrollview_observer,954,251,235,2819
google_ml_kit,730,252,157,257
super_clipboard,737,253,224,371
flutter_libphonenumber,742,254,236,339
flutter_svg_provider,720,255,225,257
http_interceptor,727,256,227,289
alchemist,847,257,245,1155
elegant_notification,742,258,221,329
shelf_proxy,733,259,231,299
easy_image_viewer,715,260,233,270
ionicons,799,261,169,1320
flutter_carousel_widget,707,262,241,294
mason_cli,826,263,247,1132
google_mlkit_barcode_scanning,743,264,238,364
responsive_sizer,733,265,189,265
flutter_compass,732,266,235,353
accordion,779,267,230,1198
flutter_isolate,723,268,229,272
super_sliver_list,767,269,260,521
just_audio_background,771,270,259,1232
flutter_expandable_fab,719,271,244,289
json_path,728,272,238,278
bdd_widget_test,851,273,270,1393
flutter_contacts,734,274,141,288
devicelocale,741,275,245,322
sprung,753,276,257,487
googleapis,756,277,277,498
vector_graphics,905,278,274,1808
cunning_document_scanner,739,279,243,403
postgrest,727,280,239,373
slack_logger,451,2932,2089,2932
flutter_persistent_keyboard_height,446,2929,1788,2929
sidebarx,730,283,258,292
screen_brightness,984,284,263,2644
super_drag_and_drop,737,285,253,394
intercom_flutter,732,286,252,348
flutter_displaymode,735,287,248,300
graphql_codegen,882,288,278,1795
dio_cookie_manager,726,289,256,298
open_settings,733,290,247,366
otp_autofill,728,291,249,314
kiwi,750,292,253,486
multiple_result,756,293,270,498
geocoding,753,294,294,515
filesize,745,295,282,416
platform_device_id,725,296,203,299
multi_split_view,743,297,268,392
textfield_tags,720,298,264,314
fading_edge_scrollview,729,299,261,396
flutter_map_location_marker,811,300,300,1390
